Apalachia Dam,Apalachia
Blue Ridge Dam,BlueRidge
Boone Dam,Boone
Chatuge Dam,Chatuge
Cherokee Dam,Cherokee
Chickamauga Dam,Chickamauga
Douglas Dam,Douglas
Fontana Dam,Fontana
Fort Loudoun Dam,FortLoudoun
Fort Patrick Henry Dam,FortPatrick
Guntersville Dam,Guntersville
Hiwassee Dam,Hiwassee
Kentucky Dam,Kentucky
Melton Hill Dam,MeltonHill
Nickajack Dam,Nickajack
Norris Dam,Norris
Nottely Dam,Nottely
Ocoee #1 Dam,Ocoee1
Ocoee #3 Dam,Ocoee3
Pickwick Dam,PickwickLanding
Raccoon Mountain Pumped-Storage Plant,RaccoonMt
South Holston Dam,SouthHolston
Tims Ford Dam,TimsFord
Watts Bar Dam,WattsBar
Watauga Dam,Watauga
Wheeler Dam,Wheeler
Wilson Dam,Wilson
Wilbur Dam,Wilbur